Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59,Emoji_60,Emoji_61,Emoji_62,Emoji_63,x1,Emoji_0,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Emoji_6,Emoji_7,Emoji_8,Emoji_9,Emoji_10,Emoji_11,Emoji_12,Emoji_13,Emoji_14,Emoji_15,Emoji_16,Emoji_17,Emoji_18,Emoji_19,Emoji_20,Emoji_21,Emoji_22,Emoji_23,Emoji_24,Emoji_25,Emoji_26,Emoji_27,Emoji_28,Emoji_29,Emoji_30,Emoji_31,Emoji_32,Emoji_33,Emoji_34,Emoji_35,Emoji_36,Emoji_37,Emoji_38,Emoji_39,Emoji_40,Emoji_41,Emoji_42,Emoji_43,Emoji_44,Emoji_45,Emoji_46,Emoji_47,Emoji_48,Emoji_49,Emoji_50,Emoji_51,Emoji_52,Emoji_53,Emoji_54,Emoji_55,Emoji_56,Emoji_57,Emoji_58,Emoji_59
33,24,53,31,32,33,40,50,21,31,32,22,25,55,12,11,57,24,40,48,57,42,58,33,30,34,22,27,43,35,0,12,25,33,41,32,55,33,37,22,34,27,45,52,5,59,33,63,6,18,0,12,51,40,25,33,40,12,53,25,19,25,55,22,32,33,31,41,6,12,4,8,53,7,47,0,22,12,28,25,42,58,57,44,51,57,33,40,17,58,30,33,40,31,54,42,12,51,44,41,17,4,12,49,6,0,12,49,38,25,41,17,40,33,62,12,0,25,20,39,57,40,33,17,6
12,34,25,0,3,41,17,6,12,4,32,55,44,37,22,12,51,0,25,44,52,12,25,22,51,32,55,42,44,37,32,55,34,58,37,11,48,28,12,49,11,44,48,31,9,39,12,28,25,42,57,33,40,53,58,6,33,31,11,51,12,40,6,4,41,42,33,62,44,32,40,33,17,6,31,12,33,40,57,17,39,41,12,0,14,57,44,58,31,42,13,6,17,57,31,24,21,33,40,47,22,0,25,41,34,0,58,33,32,55,42,57,51,12,44,46,34,32,42,3,33,41,12,22,34
32,55,34,27,46,34,46,42,51,27,33,40,31,17,53,44,11,42,58,33,19,25,32,0,55,22,12,25,42,32,19,42,25,0,56,42,39,51,52,62,19,32,25,55,12,42,44,58,49,55,11,48,24,39,40,31,11,63,12,41,41,25,22,12,0,0,12,25,41,40,0,56,51,3,39,51,22,14,0,25,21,17,0,12,40,12,51,0,14,42,42,51,52,58,39,51,0,12,3,25,33,40,58,6,41,12,34,0,42,52,41,12,22,34,62,57,44,58,33,42,42,57,33,31,44
46,34,22,12,25,0,12,28,33,62,33,32,55,58,57,0,25,19,12,20,12,0,41,58,42,33,57,62,53,25,11,57,61,44,58,42,11,12,44,48,32,55,34,33,52,48,24,4,57,11,34,32,27,22,45,32,55,34,27,46,42,51,0,41,13,32,55,33,40,37,12,42,20,57,51,22,41,11,12,25,33,41,6,40,31,24,33,16,53,47,46,34,24,42,57,12,0,41,34,22,57,42,58,44,31,26,38,13,14,40,33,17,40,57,44,25,19,22,55,32,14,41,17,6,40
42,21,44,57,62,0,51,41,25,12,44,33,54,50,31,46,34,35,45,39,12,32,44,41,62,42,32,55,44,58,57,33,58,31,44,21,57,31,33,17,33,40,57,6,58,12,41,40,0,25,21,17,61,4,7,21,41,34,17,33,12,28,62,63,52,12,41,22,62,25,12,22,25,41,34,20,21,17,35,15,42,33,6,40,19,34,35,45,52,43,40,33,57,17,58,55,32,42,37,19,33,57,42,6,40,34,46,5,27,35,40,11,57,48,6,42,44,13,31,6,0,42,19,33,32
32,55,22,25,33,41,51,12,4,17,32,19,55,25,12,42,13,6,56,40,22,19,25,32,55,32,58,55,44,33,33,40,31,53,6,34,22,45,35,25,28,52,0,34,43,32,55,37,33,19,12,57,6,33,39,32,55,37,42,52,44,42,0,9,33,6,33,48,11,31,30,31,11,24,17,51,34,3,19,35,57,34,33,55,58,44,13,41,11,42,21,41,62,33,57,40,33,57,61,6,32,55,37,19,58,58,57,38,56,40,57,34,35,53,33,32,55,44,33,37,58,11,48,31,33
22,46,32,35,55,32,33,55,22,41,34,46,27,55,32,40,33,6,57,17,34,52,39,12,45,58,30,57,13,33,42,12,51,52,34,40,33,6,17,20,12,42,25,0,20,33,0,41,20,19,40,33,0,28,41,33,42,40,6,34,57,19,20,12,32,34,22,33,53,27,34,46,27,5,45,33,12,0,25,17,22,32,0,25,34,57,58,31,33,44,42,51,13,17,40,32,55,42,37,44,32,55,22,34,62,34,46,32,55,12,39,57,11,31,63,41,40,0,31,30,22,13,41,25,14
57,30,6,33,58,46,45,43,22,41,33,57,40,31,53,32,33,55,25,22,35,55,45,43,22,51,42,33,62,6,20,14,35,57,46,57,32,19,33,20,12,22,25,0,33,44,21,24,47,8,42,12,51,20,45,42,44,31,30,54,42,45,43,52,27,12,42,33,40,6,61,44,57,6,31,11,33,48,6,62,46,34,27,35,5,55,37,32,58,19,41,61,33,40,28,42,19,32,25,62,42,12,33,62,57,21,40,57,33,17,11,48,24,63,51,57,61,33,40,58,40,12,55,32,58
0,14,51,12,41,32,55,42,37,44,33,21,30,40,32,33,0,44,57,53,46,34,35,5,45,46,35,34,57,40,32,55,37,58,42,40,33,58,57,0,33,12,42,58,32,32,55,62,22,25,33,36,31,17,57,0,33,53,54,20,21,63,17,8,61,32,55,37,56,38,46,34,30,21,8,41,49,12,28,9,41,51,25,22,19,33,12,42,58,32,42,33,52,62,19,33,53,20,17,42,46,0,33,20,57,39,28,58,0,32,12,25,28,0,22,33,40,61,58,57,33,57,40,0,31
21,42,13,17,38,41,12,33,40,62,32,55,33,42,22,42,12,0,39,58,42,12,41,0,44,0,57,14,40,12,48,51,44,52,12,19,42,25,32,12,44,32,62,12,33,41,22,33,34,25,42,33,0,12,40,42,19,25,0,12,46,34,40,32,58,40,17,24,6,0,48,11,58,57,40,34,62,27,12,5,4,40,24,6,33,32,55,37,42,13,42,12,34,41,33,32,55,57,34,22,21,34,45,35,3,12,41,34,28,46,12,39,0,25,22,32,55,42,22,25,11,33,17,48,6
32,55,33,25,19,0,41,31,33,3,30,21,24,33,34,42,12,57,34,44,32,55,37,19,58,41,34,33,12,62,32,55,37,58,44,28,33,42,34,41,17,41,12,21,4,34,32,55,12,46,41,12,62,51,42,50,41,54,0,31,35,5,45,27,46,12,34,25,32,46,19,32,25,22,55,6,4,17,40,12,34,51,46,27,42,33,40,0,41,28,37,57,44,35,45,31,4,17,44,6,46,33,34,39,32,12,41,32,34,28,32,55,22,42,37,57,42,4,41,33,39,52,34,0,12
40,33,32,55,0,42,53,33,4,31,42,19,45,35,20,41,38,33,19,0,12,41,33,22,20,12,41,0,33,25,0,19,25,22,12,41,22,25,19,42,39,28,0,49,58,21,11,25,48,17,44,32,55,12,62,22,32,25,55,33,52,32,42,55,62,33,32,55,41,62,34,32,55,45,22,12,39,49,20,41,32,22,34,62,55,34,46,42,32,40,31,33,6,40,17,42,12,33,57,41,42,41,0,57,58,33,57,58,32,55,39,12,62,0,34,57,31,33,44,17,42,33,31,11,12
33,56,31,44,6,34,46,32,55,27,42,56,44,37,48,39,34,46,35,27,56,55,28,43,38,61,42,24,47,40,46,34,3,45,35,44,42,11,41,0,34,32,55,46,27,39,52,25,12,62,55,58,0,32,19,32,55,22,34,25,46,34,5,27,35,40,33,30,17,6,48,11,58,40,57,33,40,17,6,57,57,58,44,31,41,12,41,52,62,28,40,33,17,57,6,46,34,3,35,5,33,31,53,40,17,63,33,6,40,4,57,40,0,33,17,0,12,51,41,32,24,47,63,8,16
33,40,12,6,62,0,32,12,19,55,57,33,61,42,40,34,25,12,19,0,42,58,39,51,52,32,40,33,55,25,39,57,51,52,12,19,12,0,25,32,61,42,24,47,40,61,42,24,47,31,12,34,41,3,25,32,55,37,58,42,22,33,32,25,55,24,47,33,21,46,51,0,3,39,20,24,53,57,47,33,34,46,35,3,45,31,33,53,30,10,41,0,51,42,49,52,12,51,42,62,46,34,27,32,35,57,33,31,42,40,53,34,40,20,10,41,12,20,42,62,12,41,62,25,20
46,34,35,3,53,42,32,12,55,44,39,32,55,37,52,0,51,19,25,3,33,17,31,53,40,32,55,37,0,19,25,12,19,33,0,41,33,42,44,50,24,61,47,40,57,32,55,12,62,28,33,40,6,57,17,56,32,55,38,37,42,58,44,51,57,61,32,55,37,57,24,47,4,16,36,12,25,22,19,32,41,53,32,0,55,32,55,44,41,37,32,25,19,12,55,46,24,40,57,34,0,12,51,31,17,58,57,31,0,42,33,57,40,12,53,39,52,12,28,25,33,31,53,62,17
41,12,25,0,14,32,55,22,62,44,11,46,40,58,35,42,44,58,57,11,61,24,47,40,8,51,12,34,42,57,34,32,62,12,33,11,46,25,22,48,41,9,44,22,31,34,57,46,0,58,32,55,42,19,25,48,11,6,4,24,40,33,17,21,13,33,57,31,40,53,34,55,35,37,25,0,58,19,57,25,40,0,51,19,25,33,57,40,58,31,34,39,32,55,46,34,55,32,22,39,33,24,4,40,47,34,45,25,32,44,62,34,28,32,12,40,33,0,12,17,58,57,33,30,53
32,33,55,58,40,55,32,40,37,58,12,41,25,32,39,32,55,19,38,37,6,39,33,36,4,32,34,12,25,55,33,31,44,54,32,42,46,34,51,52,34,51,12,42,25,53,4,16,7,24,51,12,44,42,39,32,55,33,34,22,44,32,11,33,42,21,32,57,34,33,57,35,17,34,40,33,40,31,53,54,0,41,12,42,52,42,12,54,31,44,0,58,42,33,44,33,40,55,32,53,40,11,51,33,48,57,58,12,41,40,57,58,33,13,32,48,24,57,11,58,63,57,33,58,21
51,34,46,42,12,49,41,63,54,10,12,0,51,33,41,33,42,6,57,34,12,41,33,17,42,42,20,19,62,12,41,31,33,6,44,33,40,58,57,53,40,33,0,41,17,32,55,62,19,45,58,32,55,41,37,42,32,55,31,34,41,37,33,12,19,31,44,17,30,11,58,33,17,21,62,33,40,12,6,0,57,63,33,40,17,4,33,36,17,10,42,12,31,44,57,33,57,31,42,53,32,55,19,25,37,4,40,3,0,6,33,31,20,30,53,12,34,57,42,46,34,46,27,35,45
39,52,2,12,51,12,39,33,36,6,44,51,57,42,58,34,32,55,46,27,41,12,62,33,20,32,55,34,19,45,48,11,40,33,31,42,55,32,44,37,11,48,44,51,42,33,40,57,53,50,41,32,42,48,22,39,32,55,19,52,57,41,12,31,33,40,33,0,53,20,19,0,25,51,22,42,46,34,57,58,42,12,32,0,25,24,33,53,31,47,12,41,25,20,62,57,58,33,55,11,52,45,43,29,42,57,58,12,25,19,42,34,46,45,33,12,33,39,51,4,44,41,42,12,31
33,40,32,55,62,32,0,55,41,25,40,33,0,25,32,4,33,40,53,6,58,55,32,0,19,39,12,25,28,22,33,61,40,31,41,11,32,0,19,55,12,25,41,42,19,41,12,33,44,20,32,33,55,62,42,19,25,22,1,51,42,51,37,44,32,0,12,42,25,32,12,34,25,20,62,42,32,44,25,55,0,44,58,57,9,12,42,0,25,51,33,13,42,41,12,12,34,42,52,62,57,40,61,33,58,40,33,61,32,42,13,37,58,51,1,63,6,17,58,57,39,52,51,11,43
61,24,47,42,40,33,62,42,20,52,32,33,55,12,57,33,32,62,53,22,33,25,19,40,12,39,33,62,12,28,32,55,34,22,25,9,54,44,13,17,32,22,55,34,12,32,19,55,25,22,30,21,47,24,8,42,44,31,12,40,57,33,44,58,31,12,42,41,62,32,32,55,42,44,62,42,11,30,48,21,6,33,57,11,30,39,52,12,20,25,32,34,55,25,19,0,22,25,51,12,33,53,57,20,10,42,31,33,40,6,62,52,12,28,41,33,41,40,53,31,32,34,55,56,37
32,55,22,34,37,42,31,33,6,30,12,51,32,0,62,34,12,25,19,35,61,58,57,33,40,41,4,0,3,12,14,6,48,11,4,12,33,20,40,0,39,42,44,52,51,41,0,12,11,40,42,45,27,52,5,33,31,62,34,53,57,41,25,20,19,12,0,25,19,40,22,25,32,0,55,32,55,37,19,43,31,33,54,41,50,32,33,55,57,58,11,48,63,41,24,12,52,62,42,43,32,55,34,19,37,39,42,12,52,25,34,12,32,55,45,13,42,39,14,51,12,51,0,41,25
51,12,25,0,41,33,32,55,62,42,33,17,40,57,53,32,22,55,34,25,32,55,44,34,22,34,46,39,52,12,33,4,24,36,6,36,39,52,51,44,39,52,51,25,12,34,57,46,37,35,42,12,41,33,57,42,20,33,35,45,51,57,44,12,40,57,33,40,58,31,12,34,42,46,3,11,48,24,57,40,12,52,62,33,34,22,32,55,34,25,39,57,33,34,21,32,55,25,19,22,33,50,41,53,31,42,19,32,56,62,34,62,52,43,42,40,33,42,17,12,62,12,42,52,25
39,12,28,0,52,57,20,0,25,3,40,33,57,58,6,31,57,33,6,45,12,0,41,42,25,34,46,17,13,35,32,55,42,37,34,33,40,6,0,53,32,55,0,22,25,41,0,12,42,28,44,24,51,47,32,33,12,39,61,41,24,33,34,53,57,32,21,55,37,33,12,0,51,41,40,12,0,62,25,33,42,41,44,51,54,62,29,52,43,42,4,24,6,40,17,0,25,22,32,38,39,52,51,57,12,56,39,0,19,1,61,40,24,47,46,55,40,16,57,53,48,39,11,52,54
32,19,55,33,25,32,28,55,22,33,33,57,40,17,6,41,34,45,46,29,24,47,61,57,33,12,25,22,19,0,42,57,44,31,33,33,22,53,25,0,58,33,57,40,6,30,21,33,58,51,58,57,33,40,41,42,32,55,44,51,44,31,61,33,12,33,12,40,20,25,39,33,34,52,55,6,33,4,17,31,34,11,46,27,41,31,6,33,41,62,48,11,6,33,63,12,34,32,25,62,33,41,32,0,40,32,55,44,33,42,36,57,33,44,17,32,55,42,33,62,4,41,44,48,17
44,6,48,33,51,34,32,46,55,12,0,33,32,28,55,32,55,33,19,42,22,12,25,32,55,46,22,12,25,34,44,32,42,55,58,42,12,51,62,41,11,24,57,48,6,57,58,33,12,6,34,46,21,32,30,48,11,6,30,17,0,42,12,51,25,55,32,38,37,56,57,58,40,0,31,63,51,33,42,34,24,40,47,57,61,46,34,3,35,45,19,25,1,51,55,36,34,33,39,42,12,6,31,33,57,21,58,34,33,17,32,12,52,39,55,0,34,3,12,19,36,4,24,47,6
58,42,33,44,31,46,34,3,32,35,0,12,22,25,19,32,55,19,22,34,13,37,44,19,25,4,12,17,33,40,42,44,51,0,37,12,34,46,62,4,32,55,51,37,33,24,61,47,40,57,39,33,36,6,51,41,12,44,40,57,32,22,55,34,25,51,12,34,39,52,34,46,52,43,29,42,34,46,35,45,34,51,52,27,0,33,40,61,57,17,55,32,42,44,37,12,62,33,28,21,48,11,24,57,40,36,4,17,6,33,0,19,25,51,20,21,24,47,8,57,33,40,6,41,12
33,40,32,39,6,30,58,33,42,32,42,51,40,33,17,22,25,41,0,12,32,55,22,34,25,11,48,63,24,47,33,32,55,31,58,51,57,33,53,59,34,51,42,35,46,21,33,20,0,62,33,32,25,22,12,33,57,40,6,42,44,41,51,12,62,32,55,22,25,33,58,34,42,46,40,62,12,22,39,41,42,11,48,51,44,34,46,42,21,51,49,12,41,28,62,32,44,12,55,19,11,48,32,21,55,12,34,40,46,51,32,55,33,42,62,17,40,21,33,6,51,0,41,12,25
34,51,19,12,25,12,0,25,3,41,32,55,37,45,21,42,44,58,13,48,32,34,55,33,22,32,55,22,33,34,41,12,25,22,62,25,22,33,32,52,61,33,44,41,40,11,48,63,24,47,33,62,12,51,31,41,12,62,17,4,39,42,52,4,51,33,40,6,17,53,57,58,17,42,21,33,6,31,40,17,55,32,19,37,25,57,11,58,33,42,32,55,44,42,37,33,31,54,53,40,48,42,11,44,17,41,31,33,12,51,61,57,40,33,58,19,55,1,32,37,40,33,17,6,25
42,31,44,58,57,33,40,62,12,53,32,25,0,19,55,32,55,33,19,37,40,33,32,19,17,39,0,12,25,28,11,48,51,59,63,34,46,12,33,22,42,41,44,48,11,22,39,12,25,13,32,55,22,37,25,41,46,34,42,57,41,12,51,22,25,22,25,19,32,21,44,63,4,8,47,33,6,44,9,4,34,30,45,27,35,4,17,6,12,40,33,17,63,8,21,12,42,34,32,33,51,12,0,41,44,11,48,46,44,21,57,11,48,13,40,22,32,27,45,55,12,28,0,32,25
33,40,31,17,53,6,24,44,4,51,32,55,19,1,37,51,42,33,40,6,34,35,45,55,33,30,21,63,11,48,0,51,39,12,3,39,20,62,52,0,57,40,58,17,13,46,34,12,5,27,41,32,51,12,55,34,35,45,46,57,34,46,3,35,45,12,42,34,62,25,39,38,41,0,25,32,55,39,34,37,39,52,51,57,44,57,33,40,17,58,40,32,33,12,25,32,12,44,55,51,12,39,25,42,52,33,14,45,42,52,57,6,33,40,31,32,34,55,19,3,12,22,25,41,39
33,9,50,31,53,12,41,42,0,33,12,33,25,32,41,4,40,12,34,3,25,19,0,12,22,34,32,12,55,52,55,32,37,11,19,0,22,25,19,51,21,34,39,33,63,51,42,44,12,6,11,48,41,31,6,19,25,0,12,22,0,41,25,12,22,30,21,33,42,31,22,32,33,55,25,12,34,25,22,20,33,40,53,62,54,52,43,42,51,62,32,42,62,12,55,52,28,43,46,51,32,55,37,58,42,12,40,33,57,17,40,33,58,21,57,4,33,24,6,17,57,58,17,13,44
46,34,42,3,35,33,31,53,57,62,41,22,25,12,33,44,57,31,33,12,33,40,17,53,6,0,19,25,35,51,6,33,36,17,4,57,33,17,58,40,12,0,51,25,34,34,46,27,35,5,51,34,42,46,12,12,41,34,62,25,32,34,55,22,46,12,0,25,62,33,41,32,22,55,12,55,32,19,39,37,33,41,40,12,32,51,0,39,58,12,46,34,56,35,42,11,30,48,21,42,34,32,46,55,22,39,19,25,52,0,41,25,32,19,12,32,55,34,37,58,22,25,19,20,0
12,22,39,32,25,22,25,0,12,41,32,55,42,25,22,55,32,33,37,42,32,55,37,19,33,33,40,31,57,58,22,34,27,39,32,32,55,33,58,37,21,33,30,32,17,32,55,44,37,21,39,12,36,46,34,32,34,55,52,33,34,3,46,35,22,12,34,52,42,45,41,22,62,0,12,32,55,42,58,28,33,62,12,17,57,41,33,12,62,51,32,19,25,42,41,12,41,19,25,22,42,52,45,43,34,42,58,44,38,57,32,33,55,42,22,12,0,3,34,40,11,33,48,6,57
33,57,32,34,53,22,28,62,34,12,58,33,32,57,40,30,21,17,33,58,49,28,0,12,20,12,0,51,62,20,32,55,19,46,34,25,19,1,22,41,33,40,58,32,55,12,33,34,46,53,32,55,37,42,22,52,43,45,34,29,51,12,46,25,42,0,35,22,25,34,57,33,40,58,17,32,55,19,22,34,19,32,55,37,29,19,33,25,20,22,14,32,55,19,37,12,32,22,41,55,25,12,38,62,40,33,40,32,55,31,34,46,3,35,27,46,34,4,3,49,33,57,31,34,53
31,11,58,57,4,40,57,17,21,33,32,55,58,57,44,41,12,25,51,44,32,55,19,12,25,40,33,17,61,63,32,55,37,19,1,6,40,33,13,17,32,55,42,19,37,42,48,11,44,13,42,35,19,56,45,35,45,27,30,5,11,48,58,57,40,40,33,57,58,17,42,33,34,12,24,57,33,58,31,40,52,45,43,20,34,30,21,11,31,15,32,33,55,31,62,40,32,55,61,58,11,48,63,51,30,14,41,33,58,17,31,33,6,17,48,57,58,43,20,45,39,33,57,21,30
39,32,34,52,55,33,40,30,32,55,57,13,58,17,31,41,33,31,12,53,46,34,27,5,35,33,31,58,30,57,33,6,41,4,40,33,40,57,58,21,22,25,12,32,55,24,34,57,40,47,33,41,6,17,40,46,34,24,40,47,34,46,27,45,43,44,32,55,25,37,39,12,25,0,22,11,42,58,48,57,20,42,62,45,34,32,12,55,62,19,12,0,39,51,52,22,25,12,32,62,34,46,27,33,22,0,19,20,3,35,41,11,48,51,26,39,12,51,52,42,32,33,55,44,22
32,55,37,33,62,12,33,40,25,57,32,33,41,55,40,33,40,31,17,57,35,34,45,46,3,0,12,3,42,53,21,32,55,34,62,12,40,61,31,41,42,55,32,19,37,12,40,34,0,51,42,33,32,62,12,33,40,53,31,57,61,40,53,8,60,17,32,19,21,33,58,57,30,33,40,32,55,33,37,58,41,40,33,12,17,48,11,6,17,40,20,46,3,12,25,57,33,32,12,40,0,41,33,40,58,32,55,12,25,22,32,55,34,46,27,44,57,31,33,62,32,55,42,44,39
36,39,12,62,17,32,55,22,25,0,41,0,12,40,33,12,41,28,0,39,53,0,33,9,20,31,33,6,12,39,32,55,33,22,34,46,34,35,3,27,57,33,58,62,32,0,25,19,22,32,17,4,26,40,6,32,55,37,19,1,33,32,55,28,34,34,33,46,27,45,33,6,42,4,16,32,55,33,62,22,34,33,40,53,0,34,32,55,46,27,32,22,55,27,34,33,31,40,6,42,6,63,33,40,17,11,48,34,46,51,32,55,22,25,62,0,51,3,53,25,45,46,34,35,55
